Wall time,Step,Reward
1715373986,429568,-92.9132843
1715374018,429696,-93.14264679
1715374050,429824,-93.24822235
1715374081,429952,-93.1555481
1715374113,430080,-93.05295563
1715374145,430208,-93.41880035
1715374176,430336,-93.70079803
1715374208,430464,-93.06263733
1715374239,430592,-92.53108215
1715374271,430720,-92.16829681
1715374303,430848,-91.49663544
1715374334,430976,-90.60153961
1715374366,431104,-89.95455933
1715374400,431232,-88.29454803
1715374432,431360,-86.58390045
1715374464,431488,-86.60388184
1715374495,431616,-85.82323456
1715374527,431744,-85.31499481
1715374558,431872,-85.5364151
1715374590,432000,-84.68571472
1715374622,432128,-83.75876617
1715374653,432256,-83.11135101
1715374685,432384,-82.44833374
1715374716,432512,-82.03748322
1715374748,432640,-81.7276535
1715374780,432768,-82.04665375
1715374811,432896,-81.72351074
1715374843,433024,-81.95573425
1715374874,433152,-82.11153412
1715374906,433280,-81.82035065
1715374938,433408,-81.66798401
1715374969,433536,-80.84884644
1715375001,433664,-79.97182465
1715375033,433792,-79.59157562
1715375064,433920,-79.64794159
1715375099,434048,-77.67605591
1715375130,434176,-76.78400421
1715375162,434304,-76.30895996
1715375194,434432,-76.38720703
1715375225,434560,-74.5531311
1715375257,434688,-74.29318237
1715375288,434816,-73.88262177
1715375320,434944,-72.08968353
1715375352,435072,-71.57228851
1715375383,435200,-71.2790451
1715375415,435328,-69.66452789
1715375446,435456,-69.14457703
1715375478,435584,-68.75753784
1715375510,435712,-69.24259186
1715375541,435840,-68.93044281
1715375573,435968,-68.48048401
1715375604,436096,-68.1227417
1715375636,436224,-68.28791046
1715375671,436352,-66.68524933
1715375702,436480,-66.64942932
1715375734,436608,-66.30796051
1715375765,436736,-66.40220642
1715375797,436864,-66.57678986
1715375829,436992,-66.45354462
1715375860,437120,-66.50251007
1715375892,437248,-65.91152954
1715375924,437376,-66.41650391
1715375955,437504,-67.68977356
1715375987,437632,-68.9979248
1715376018,437760,-68.62249756
1715376050,437888,-69.41171265
1715376082,438016,-69.50508881
1715376113,438144,-69.32821655
1715376145,438272,-69.63031006
1715376176,438400,-70.13014221
1715376208,438528,-69.91362762
1715376240,438656,-70.03635406
1715376271,438784,-70.28419495
1715376303,438912,-70.49453735
1715376334,439040,-70.4315567
1715376366,439168,-70.43165588
1715376398,439296,-70.282547
1715376429,439424,-68.51261902
1715376461,439552,-68.44736481
1715376492,439680,-68.49638367
1715376524,439808,-68.58209991
1715376556,439936,-68.91954041
1715376587,440064,-69.33985901
1715376619,440192,-69.70610046
1715376650,440320,-69.20115662
1715376682,440448,-71.68644714
1715376714,440576,-71.60742188
1715376745,440704,-71.49720764
1715376777,440832,-72.58311462
1715376808,440960,-71.8167038
1715376840,441088,-72.46879578
1715376872,441216,-73.96996307
1715376903,441344,-73.93497467
1715376935,441472,-73.95222473
1715376967,441600,-75.48192596
1715376998,441728,-74.67642975
1715377030,441856,-74.78330994
1715377061,441984,-74.7554245
1715377093,442112,-74.19642639
1715377125,442240,-72.83983612
1715377156,442368,-73.40702057
1715377188,442496,-73.24388885
1715377219,442624,-72.57581329
1715377251,442752,-74.22276306
1715377286,442880,-73.15436554
1715377317,443008,-73.25275421
1715377349,443136,-73.34902191
1715377380,443264,-72.02469635
1715377412,443392,-71.74534607
1715377444,443520,-72.12229919
1715377475,443648,-71.96178436
1715377507,443776,-71.88131714
1715377538,443904,-72.50938416
1715377573,444032,-71.49404144
1715377605,444160,-71.40881348
1715377639,444288,-72.55153656
1715377671,444416,-72.15707397
1715377703,444544,-72.36747742
1715377734,444672,-72.43109894
1715377766,444800,-72.82243347
1715377797,444928,-73.1548233
1715377829,445056,-72.9527359
1715377861,445184,-72.8596344
1715377892,445312,-73.55944824
1715377924,445440,-73.80580139
1715377955,445568,-75.08872223
1715377987,445696,-75.81781769
1715378019,445824,-75.60097504
1715378050,445952,-76.23844147
1715378082,446080,-75.8264389
1715378113,446208,-75.54043579
1715378145,446336,-75.75926971
1715378177,446464,-76.11988068
1715378208,446592,-75.99533844
1715378240,446720,-76.01378632
1715378271,446848,-75.85743713
1715378303,446976,-76.06460571
1715378335,447104,-77.10182953
1715378366,447232,-77.41633606
1715378398,447360,-76.55963135
1715378429,447488,-76.85862732
1715378461,447616,-77.86332703
1715378493,447744,-77.95132446
1715378524,447872,-78.3347702
1715378556,448000,-78.38251495
1715413063,448128,-88.53521729
1715413127,448384,-79.31507111
1715413158,448512,-79.69226074
1715413190,448640,-82.91697693
1715413348,449280,-83.28022766
1715413379,449408,-82.64838409
1715413411,449536,-84.21177673
1715413506,449920,-83.16777039
1715413537,450048,-83.12727356
1715413569,450176,-84.24549103
1715413632,450432,-81.05582428
1715413664,450560,-80.63167572
1715413695,450688,-81.57972717
1715413762,450944,-79.85831451
1715413793,451072,-79.71537018
1715413888,451456,-81.21595001
1715413920,451584,-81.44528961
1715413951,451712,-82.32226563
1715413983,451840,-80.40105438
1715414015,451968,-80.6864624
1715414109,452352,-80.4356308
1715414141,452480,-80.63433075
1715414204,452736,-80.12929535
1715414236,452864,-80.69335175
1715414267,452992,-80.55371857
1715414299,453120,-80.6526413
1715414331,453248,-80.26714325
1715414552,454144,-80.45343018
1715414583,454272,-80.17418671
1715414615,454400,-80.65519714
1715414647,454528,-80.26935577
1715414678,454656,-80.45579529
1715414710,454784,-80.53536224
1715414741,454912,-80.9571991
1715414773,455040,-80.72068787
1715414805,455168,-80.59146881
1715414868,455424,-79.78504944
1715414963,455808,-79.22779083
1715414994,455936,-78.92421722
1715415026,456064,-78.75092316
1715415058,456192,-78.69087982
1715415121,456448,-78.77706909
1715415152,456576,-78.83123016
1715415184,456704,-78.59906769
1715415216,456832,-79.37406158
1715415279,457088,-79.04357147
1715415310,457216,-80.06676483
1715415374,457472,-79.927742
1715415437,457728,-80.43270111
1715415500,457984,-80.15945435
1715415532,458112,-79.95806885
1715415563,458240,-81.0904541
1715415595,458368,-81.30931091
1715415658,458624,-79.57171631
1715415690,458752,-79.64628601
1715415753,459008,-80.55963135
1715415785,459136,-80.3181076
1715415816,459264,-80.1960144
1715415879,459520,-80.1030426
1715415911,459648,-80.67763519
1715416069,460288,-80.82375336
1715416195,460800,-80.59959412
1715416227,460928,-80.5643158
1715416322,461312,-80.11601257
1715416353,461440,-80.31184387
1715416417,461696,-80.94726563
1715416448,461824,-81.17229462
1715416480,461952,-81.28269196
1715416511,462080,-81.49532318
1715416543,462208,-81.46131897
1715416575,462336,-81.39372253
1715416606,462464,-81.64823914
